family,mesh,c,M,n_k,n_occ,n_vir,xo_op,xv_op,xo_2inf,xv_2inf,w_op_max,w_fro_max,w_l1_mean,alpha_lcu_dir,alpha_lcu_exch,alpha_lcu_exch_max,max_Q_S_Q,alpha_embed_op,alpha_embed_fro,alpha_embed_l1,alpha_embed_op_mod,alpha_embed_op_2inf,alpha_embed_l1_2inf,exch_over_dir,q_concentration,k_participation,dft_pkl
ISDFov_bareGDF_symm,4x4x4,6,184,64,4,22,2.007412917,5.355082465,0.4326098018,1.691459218,120.5625823,131.7766511,10697.34286,330.8530579,15847.12545,386.1788595,24715.44701,13932.15496,15228.04745,1236179.879,1389.98154,64.55476645,5727.850686,47.8978,1.55962,0.748403,DFT_4x4x4_symm.pkl
ISDFov_bareGDF_symm,4x4x4,8,208,64,4,22,2.017218301,5.357190113,0.4326098018,1.691459218,73.79610789,82.00937733,7444.399009,245.0135215,11799.17829,286.3253565,18324.82282,8618.136603,9577.307486,869379.828,859.136794,39.51383936,3986.074536,48.1573,1.55306,0.752457,DFT_4x4x4_symm.pkl
ISDFov_bareGDF_symm,4x4x4,10,282,64,4,22,2.149313467,5.37185484,0.4326098018,1.691459218,117.0947498,120.2330391,11497.27897,305.7930964,14897.16861,462.3746818,29591.97963,15609.37377,16027.72497,1532650.482,1547.604576,62.69792901,6156.173371,48.7165,1.98642,0.761195,DFT_4x4x4_symm.pkl
ISDFov_bareGDF_symm,4x4x4,16,446,64,4,22,2.665058532,5.394783787,0.4326098018,1.691459218,296.9738217,300.9604219,26460.52885,691.9856326,33062.47677,898.5038865,57504.24874,61387.47336,62211.54369,5469657.227,6034.686782,159.0134794,14168.18741,47.7791,1.73926,0.746549,DFT_4x4x4_symm.pkl
ISDFov_bareGDF_symm,4x4x4,20,520,64,4,22,2.813739759,5.976335091,0.4326098018,2.432536343,205.9184614,210.2269501,29407.30662,772.0293007,37236.99124,1120.446645,71708.58528,58228.15373,59446.47744,8315588.407,9646.767564,228.0377094,32566.16621,48.2326,1.92574,0.753635,DFT_4x4x4_symm.pkl
ISDFov_bareGDF_symm,5x5x5,5,136,125,4,22,1.998035604,5.299392947,0.432678024,1.692176068,281.1295379,290.5523105,9429.23501,419.6184428,38369.83542,455.8297333,56978.71666,31518.47319,32574.8951,1057146.442,3213.690298,150.7048577,5054.721503,91.4398,1.48499,0.731519,DFT_5x5x5_symm.pkl
ISDFov_bareGDF_symm,5x5x5,6,184,125,4,22,2.007614692,5.307878051,0.432678024,1.692176068,172.1537488,179.8573902,11032.89514,338.8946173,31748.57187,515.4937589,64436.71986,19548.75427,20423.5339,1252829.854,1986.864782,92.28630475,5914.394142,93.6827,2.02959,0.749462,DFT_5x5x5_symm.pkl
ISDFov_bareGDF_symm,5x5x5,8,208,125,4,22,2.017406105,5.310169187,0.432678024,1.692176068,104.5934702,110.2929485,7604.766867,249.8323349,23484.67577,392.2657383,49033.21728,12003.50149,12657.59295,872748.8456,1218.940006,56.0693272,4076.680512,94.0017,2.08788,0.752014,DFT_5x5x5_symm.pkl
ISDFov_bareGDF_symm,5x5x5,10,282,125,4,22,2.149484421,5.331082975,0.432678024,1.692176068,249.8439888,251.9318369,16753.00776,428.0248458,40779.11607,977.54839,122193.5488,32807.14156,33081.29796,2199845.991,3305.434879,133.9336416,8980.76975,95.2728,2.99647,0.762182,DFT_5x5x5_symm.pkl
ISDFov_bareGDF_symm,5x5x5,16,446,125,4,22,2.665170613,5.357979814,0.432678024,1.692176068,465.9350544,468.0543989,27008.37092,694.4243345,64405.2668,1268.783024,158597.878,95011.80392,95443.97303,5507450.058,9476.904731,249.7733841,14478.35303,92.7463,2.4625,0.74197,DFT_5x5x5_symm.pkl
ISDFov_bareGDF_symm,5x5x5,20,520,125,4,22,2.813863896,5.937907727,0.432678024,2.443362246,321.019337,323.4900892,30863.12513,816.3123951,76670.77391,1697.253848,212156.731,89619.85915,90309.62589,8616144.288,15174.45444,358.7869077,34494.13774,93.9233,2.76711,0.751387,DFT_5x5x5_symm.pkl
ISDFov_bareGDF_symm,6x6x6,5,136,216,4,22,1.998098198,5.345944598,0.4326988588,1.702617751,271.4704055,279.6461488,8537.738128,387.4994475,60753.1995,431.4951606,93202.95468,30974.55355,31907.39925,974149.0102,3141.886279,147.3425918,4633.921188,156.783,1.53412,0.725846,DFT_6x6x6_symm.pkl
ISDFov_bareGDF_symm,6x6x6,6,184,216,4,22,2.007676899,5.355082291,0.4326988588,1.702617751,210.3863067,216.147119,10626.05116,328.7031905,52620.41298,605.4494763,130777.0869,24318.53515,24984.42695,1228264.342,2458.325732,114.1887406,5767.368694,160.085,2.48529,0.741134,DFT_6x6x6_symm.pkl
ISDFov_bareGDF_symm,6x6x6,8,208,216,4,22,2.017463991,5.357189927,0.4326988588,1.702617751,135.6378604,139.7004242,7459.598058,246.5457349,39754.52691,505.2953781,109143.8017,15844.0645,16318.61874,871366.9793,1600.393681,73.61846263,4048.752606,161.246,2.74544,0.74651,DFT_6x6x6_symm.pkl
ISDFov_bareGDF_symm,6x6x6,10,282,216,4,22,2.149536774,5.371854524,0.4326988588,1.702617751,322.5889785,324.02994,16072.97309,415.8288748,68077.94416,1236.733523,267134.441,43011.8151,43203.94308,2143060.653,4320.893856,175.0875794,8723.726291,163.716,3.92395,0.757946,DFT_6x6x6_symm.pkl
ISDFov_bareGDF_symm,6x6x6,16,446,216,4,22,2.665205994,5.394783879,0.4326988588,1.702617751,777.3581599,779.1552544,32279.12325,812.7444686,129367.4616,1935.082235,417977.7627,160705.5319,161077.0505,6673157.804,16007.26144,421.916952,17519.73543,159.174,3.23093,0.736915,DFT_6x6x6_symm.pkl
ISDFov_bareGDF_symm,6x6x6,20,520,216,4,22,2.813902971,5.976335499,0.4326988588,2.432611088,489.1464247,491.6017906,35321.49338,917.3304301,147893.318,2449.284955,529045.5503,138333.4026,139027.7941,9989120.059,22919.35986,541.9456655,39134.15139,161.221,3.57721,0.746395,DFT_6x6x6_symm.pkl
ISDFov_opt_bareGDF,2x2x2,5,130,8,4,22,9.070525794,11.18712423,3.34733224,7.069988944,0.001489594954,0.007616373074,0.4932113383,29.60389989,183.0969411,25.41243794,203.2995035,15.33804612,78.42419251,5078.493472,6.125909649,0.8342636146,276.2282946,6.18489,1.11034,0.773112,DFT_2x2x2.pkl
ISDFov_opt_bareGDF,3x3x3,5,130,27,4,22,17.24132596,19.15383216,6.76386384,11.16348953,0.0002323719136,0.0009249586139,0.06019176442,33.10812436,680.2871825,29.65176395,800.5976267,25.34173323,100.8730103,6564.320158,8.608448751,1.32487006,343.183758,20.5474,1.17685,0.761016,DFT_3x3x3.pkl
ISDFov_opt_bareGDF,4x4x4,5,130,64,4,22,29.74444698,32.53968413,10.79058392,16.57433606,4.004867729e-05,0.0001264800602,0.008379560538,32.27842867,1482.771871,27.5957654,1766.128986,37.51687361,118.4842235,7849.82014,9.733572214,1.281003602,268.0300065,45.9369,1.1911,0.717765,DFT_4x4x4.pkl
ISDFov_opt_bareGDF,5x5x5,5,130,125,4,22,45.68308265,48.97432259,16.42729499,22.68870793,9.752869494e-06,2.53592481e-05,0.001688009804,31.85327432,2748.819338,24.9308546,3116.356826,48.81801223,126.9357787,8449.337222,10.47762247,1.354827658,234.4912305,86.2963,1.13371,0.69037,DFT_5x5x5.pkl
ISDFov_opt_bareGDF,6x6x6,5,130,216,4,22,57.41129875,58.28702393,20.04141126,25.61289156,4.841472611e-06,1.31459371e-05,0.0008615736536,32.21294292,4613.730199,23.12142767,4994.228377,54.21456593,147.2075402,9647.858286,10.4686202,1.275708065,227.0211043,143.226,1.08247,0.663083,DFT_6x6x6.pkl
